index	episode	episode_name	segment	type	actor	character	detail	record_date	series	transmission_date
1909	6	Episode Six	Non-illegal robbery	Dialogue	Terry Jones	Larry	I can't blow the building up.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1910	6	Episode Six	Non-illegal robbery	Dialogue	Terry Jones	Larry	It's illegal.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1911	6	Episode Six	Non-illegal robbery	Dialogue	Michael Palin	Boss	Oh bloody hell. Well we'd better give ourselves up then.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1912	6	Episode Six	Non-illegal robbery	Dialogue	Eric Idle	Reg	"We can't, Boss."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1913	6	Episode Six	Non-illegal robbery	Dialogue	Eric Idle	Reg	We haven't done anything illegal.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1915	6	Episode Six	Vox pops	Dialogue	Michael Palin	Bandit	No I think being illegal makes it more exciting.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1916	6	Episode Six	Vox pops	Dialogue	Eric Idle	Second Bandit	"Yes, I agree. I mean, if you're going to go straight you might as well be a vicar or something."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1918	6	Episode Six	Vox pops	Dialogue	Terry Jones	Vicar	What?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1920	6	Episode Six	Vox pops	Dialogue	John Cleese	Chartered Accountant	"I agree. If there were fewer robbers there wouldn't be so many of them, numerically speaking."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1922	6	Episode Six	Vox pops	Dialogue	Michael Palin	Pepperpot	I think sexual ecstasy is over-rated.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1924	6	Episode Six	Vox pops	Dialogue	Michael Palin	Scotsman	"Well, how very interesting, because I'm now made entirely of tin."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1926	6	Episode Six	Vox pops	Dialogue	John Cleese	Praline	"After a few more of these remarks, I shall be appearing in a sketch, so stay tuned."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1928	6	Episode Six	Vox pops	Dialogue	Graham Chapman	Policeman	"It's the uniform that puts them off, that and my bad breath."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1931	6	Episode Six	Vox pops	Dialogue	Terry Jones	Judge	"We like dressing up, yes..."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1933	6	Episode Six	Vox pops	Dialogue	John Cleese	Inspector Praline	"Hello again. I am at present still on film, but in a few seconds I shall be appearing in the studio. Thank you."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1937	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Mr Milton? You are sole proprietor and owner of the Whizzo Chocolate Company?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1938	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	I am.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1939	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Superintendent Parrot and I are from the hygiene squad.We want to have a word with you about your box of chocolates entitled the Whizzo Quality Assortment.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1940	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	"Ah, yes."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1942	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	"If I may begin at the beginning. First there is the Cherry Fondue. This is extremely nasty, but we can't prosecute you for that."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1943	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	Agreed.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1944	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	"Next we have number four, 'Crunchy Frog'."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1945	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	"An, yes."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1946	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Am I right in thinking there's a real frog in here?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1947	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	Yes. A little one.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1948	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	What sort of frog?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1949	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	A dead frog.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1950	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Is it cooked?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1951	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	No.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1952	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	"What, a raw frog?"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1954	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	"We use only the finest baby frogs, dew-picked and flown from Iraq, cleansed in the finest quality spring water, lightly killed, and then sealed in a succulent Swiss quintuple smooth treble cream milk chocolate envelope, and lovingly frosted with glucose."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1955	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	"That's as may be, but it's still a frog!"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1956	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	What else?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1957	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Well don't you even take the bones out?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1958	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	If we took the bones out it wouldn't be crunchy would it?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1959	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Superintendent Parrot ate one of those.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1960	6	Episode Six	Crunchy frog	Dialogue	Graham Chapman	Parrot	Excuse me a moment.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1962	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	"Well, the Superintendent thought it was an almond whirl. People won't expect there to be a frog in there. They're bound to think it's some sort of mock frog."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1964	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	Mock frog? We use no artificial preservatives or additives of any kind!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1965	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	"Nevertheless, I must warn you that in future you should delete the words 'crunchy frog', and replace them with the legend, 'crunchy raw unboned real dead frog' if you want to avoid prosecution."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1966	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	What about our sales?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1967	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	I'm not interested in your sales! I have to protect the general public! Now what about this one.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1971	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	What sort of confection is this?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1972	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	"We use choicest juicy chunks of fresh Cornish ram's bladder, emptied, steamed, flavoured with sesame seeds, whipped into a fondue and garnished with lark's vomit."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1973	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Larks vomit?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1974	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	Correct.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1975	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Well it don't say nothing about that here.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1976	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	"Oh yes it does, on the bottom of the box, after monosodium glutamate."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1978	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Wel I hardly think this is good enough. I think it's be more appropriate if the box bore a great red label warning lark's vomit.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1979	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	Our sales would plummet!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1980	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	"Well why don't you move into more conventional areas of confectionary, like praline or lime cream; a very popular flavor, I'm lead to understand."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1982	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	anthrax ripple! What's this one: 'spring surprise'?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1983	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	"Ah - now, that's our speciality - covered with darkest creamy chocolate. When you pop it into your mouth steel bolts spring out and plunge straight through both cheeks."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1984	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	"Well where's the pleasure in that? If people place a nice chocky in their mouth, they don't want their cheeks pierced. In any case this is an inadequate description of the sweetmeat. I shall have to ask you to accompany me to the station."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1986	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	It's a fair cop.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1987	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Praline	Stop talking to the camera.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1988	6	Episode Six	Crunchy frog	Dialogue	Terry Jones	Milton	I'm sorry.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1990	6	Episode Six	Crunchy frog	Dialogue	Graham Chapman	Parrot	"If only the general public would take more care when buying its sweeties, it would reduce the number of man-hours lost to the nation and they would spend less time having their stomachs pumped and sitting around in public lavatories."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1991	6	Episode Six	Crunchy frog	Dialogue	John Cleese	Announcer	"The BBC would like to apologize for the extremely poor quality of the next announcement, only he's not at all well."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1992	6	Episode Six	The dull life of a City stockbroker	Dialogue	Graham Chapman	Parrot	"We present 'The Dull Life of a City Stockbroker',"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1994	6	Episode Six	Red Indian in theatre			Man	Coming right up - the theatre sketch - so don't move!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1997	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	Me heap want see play. Me want play start heap soon.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
1999	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	Yes well. I think it ... begins in a minute.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2000	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	Me heap big fan Cicely Courtneidge.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2002	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	Yes ... she's very good.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2003	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	She fine actress ... she make interpretation heap subtle ... she heap good diction and timing ... she make part really live for Indian brave.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2004	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	Yes ... yes ... she's marvelous...	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2005	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	My father - Chief Running Stag - leader of mighty Redfoot tribe - him heap keen on Michael Denison and Dulcie Gray.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2007	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	Do you go to the theatre a lot?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2008	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	"When moon high over prairie ... when wolf howl over mountain, when mighty wind roar through Yellow Valley, we go Leatherhead Rep - block booking, upper circle - whole tribe get it on 3/6d each."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2009	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	That's very good.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2010	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	"Stage Manager, Stan Wilson, heap good friend Redfoot tribe. After show we go pow-wow speakum with director, Sandy Camp, in snug bar of Bell and Compasses. Him mighty fine director. Him heap famous."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2011	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	Oh - I don't know him myself.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2012	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	Him say Leatherhead Rep like do play with Redfoot tribe.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2013	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	Oh that's good...	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2014	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	"We do 'Dial M for Murder'. Chief Running Elk - him kill buffalo with bare hands, run thousand paces when the sun is high - him play Chief Inspector Hardy - heap good fine actor."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2015	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	You do a lot of acting do you?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2016	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	Yes. Redfoot tribe live by acting and hunting.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2017	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	You don't fight any more?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2018	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	"Yes! Redfoot make war! When Chief Yellow Snake was leader, and Mighty Eagle was in land of forefather, we fight Pawnee at Oxbow Crossing. When Pawnee steal our rehearsal copies of 'Reluctant Debutante' we kill fifty Pawnee - houses heap full every night. Heap good publicity."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2021	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	"I think he's about to start now, thank God for that."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2025	6	Episode Six	Red Indian in theatre	Dialogue	Graham Chapman	Man	"No, thank you very much."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2027	6	Episode Six	Red Indian in theatre	Dialogue	Eric Idle	Indian	Hmmm - crunchy frog - heap good.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2029	6	Episode Six	Red Indian in theatre	Dialogue	Michael Palin	House Manager	"Ladies and gentlemen. Before the play starts, I would like to apologize to you all, but unfortunately Miss Cicely Courtneidge is unable to appear, owing to..."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2032	6	Episode Six	Red Indian in theatre	Dialogue	Terry Jones	Mum	"D'you read that, Edgar?"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2033	6	Episode Six	Red Indian in theatre	Dialogue	Ian Davidson	Dad	What's that dear?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2034	6	Episode Six	Red Indian in theatre	Dialogue	Terry Jones	Mum	There's been another Indian massacre at Dorking Civic Theatre.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2035	6	Episode Six	Red Indian in theatre	Dialogue		Dad	About time too dear...	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2036	6	Episode Six	Red Indian in theatre	Dialogue	Terry Jones	Mum	'Those who were left alive at the end got their money back'.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2037	6	Episode Six	Red Indian in theatre	Dialogue		Dad	That's what live theatre needs - a few more massacres...	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2038	6	Episode Six	Red Indian in theatre	Dialogue	Terry Jones	Mum	"'The police are anxious to speak to anyone who saw the crime, ladies with large breasts, or just anyone who likes policemen.'"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2041	6	Episode Six	Red Indian in theatre	Dialogue	John Cleese	Policeman	"Yes! Policemen make wonderful friends. So if you are over six feet tall and would like a friend, a pen friend, in the police force, here is the address to write to: 'Mrs Ena Frog, 8 Masonic Apron Street, Cowdenbeath'. Remember - policemen make wonderful friends. So write today and take advantage of our free officer. Thank you. And now for the next sketch."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2043	6	Episode Six	A Scotsman on a horse	Dialogue	Terry Jones	Mum	A Scotsman on a horse.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2044	6	Episode Six	A Scotsman on a horse	Dialogue	John Cleese	Policeman	"For Mrs Emma Hamilton of Nelson, a Scotsman on a horse."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2046	6	Episode Six	Twentieth-century vole				"ANIMATION,"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2048	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	Good morning boys.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2049	6	Episode Six	Twentieth-century vole	Dialogue		Writers	Good morning Mr Saltzberg.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2053	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	I want you to know that I've had an idea for the next movie I'm going to produce and I want you boys to write it.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2056	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"Oh sit down! Sit down! Sit down! There'll be plenty of time for that later on. Now boys, here's my idea..."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2057	6	Episode Six	Twentieth-century vole	Dialogue	Eric Idle	Third Writer	It's great!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2058	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	You like it huh?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2064	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	like it?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2066	6	Episode Six	Twentieth-century vole	Dialogue	Michael Palin	First Writer	Yeah! Er ... yeah.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2069	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	about it?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2070	6	Episode Six	Twentieth-century vole	Dialogue	Michael Palin	First Writer	Oh well you haven't told us... what it is yet...	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2071	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	WHAT!?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2073	6	Episode Six	Twentieth-century vole	Dialogue	Michael Palin	First Writer	I like what he likes.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2074	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	What do you like?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2076	6	Episode Six	Twentieth-century vole	Dialogue	Terry Jones	Second Writer	I like what he likes.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2078	6	Episode Six	Twentieth-century vole	Dialogue	Eric Idle	Third Writer	I like what he likes.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2079	6	Episode Six	Twentieth-century vole	Dialogue	John Cleese	Fourth Writer	I like what he likes	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2081	6	Episode Six	Twentieth-century vole	Dialogue	Terry Gilliam	Fifth Writer	I just crazy about what he likes	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2083	6	Episode Six	Twentieth-century vole	Dialogue	Ian Davidson	Sixth Writer	I ... I ... I ... agree with them.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2084	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"Good! Now we're getting somewhere. Now, here's the start of the movie ... I see snow!"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2086	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	White snow!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2087	6	Episode Six	Twentieth-century vole	Dialogue	John Cleese	Fourth Writer	Think of the colours!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2088	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"And in the snow, I see ... a tree!"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2091	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"Wait, wait I haven't finished yet."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2092	6	Episode Six	Twentieth-century vole	Dialogue	Eric Idle	Third Writer	There's	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2093	6	Episode Six	Twentieth-century vole	Dialogue		Third Writer	more	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2094	6	Episode Six	Twentieth-century vole	Dialogue	Eric Idle	Third Writer	?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2095	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"And by this tree, gentlemen, I see ... a dog!"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2096	6	Episode Six	Twentieth-century vole	Dialogue		Writers	Olé!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2097	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"And gentlemen, this dog goes up to the tree, and he piddles on it."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2098	6	Episode Six	Twentieth-century vole	Dialogue		Writers	Hallelujah!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2099	6	Episode Six	Twentieth-century vole	Dialogue		Sixth Writer	Have we got a movie!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2100	6	Episode Six	Twentieth-century vole	Dialogue	Terry Gilliam	Fifth Writer	He tells it the way it is!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2101	6	Episode Six	Twentieth-century vole	Dialogue	John Cleese	Fourth Writer	It's where it's at!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2102	6	Episode Six	Twentieth-century vole	Dialogue	Eric Idle	Third Writer	This is something else!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2103	6	Episode Six	Twentieth-century vole	Dialogue	Terry Jones	Second Writer	It's out of sight!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2105	6	Episode Six	Twentieth-century vole	Dialogue	Michael Palin	First Writer	"I like it, I like it."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2107	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	Oh yeah?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2108	6	Episode Six	Twentieth-century vole	Dialogue	Michael Palin	First Writer	"Yeah, yeah, I"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2109	6	Episode Six	Twentieth-century vole	Dialogue		First Writer	promise	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2110	6	Episode Six	Twentieth-century vole	Dialogue	Michael Palin	First Writer	I like it	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2111	6	Episode Six	Twentieth-century vole	Dialogue	Terry Gilliam	Fifth Writer	"Sir, I don't know how to say this but I got to be perfectly frank. I really and truly believe this story of yours is the greatest story in motion-picture history."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2112	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	Get out!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2113	6	Episode Six	Twentieth-century vole	Dialogue	Terry Gilliam	Fifth Writer	What?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2114	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"If there's one thing I can't stand, it's a yes-man! Get out!"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2117	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	What do you think?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2118	6	Episode Six	Twentieth-century vole	Dialogue		Sixth Writer	Well... I...	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2119	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	Just because I have an idea it doesn't mean it's great. It could be lousy.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2120	6	Episode Six	Twentieth-century vole	Dialogue		Sixth Writer	It could?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2121	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	Yeah! What d'ya think?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2122	6	Episode Six	Twentieth-century vole	Dialogue		Sixth Writer	It's lousy.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2123	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"There you are, you see, he spoke his mind. He said my idea was lousy. It just so happens my idea isn't lousy so get out you goddam pinko subversive, get out!"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2126	6	Episode Six	Twentieth-century vole	Dialogue	John Cleese	Fourth Writer	Well ... I think it's an excellent idea.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2127	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	Are you a yes-man?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2128	6	Episode Six	Twentieth-century vole	Dialogue	John Cleese	Fourth Writer	"No, no, no, I mean there may be things against it."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2129	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"You think it's lousy, huh?"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2130	6	Episode Six	Twentieth-century vole	Dialogue	John Cleese	Fourth Writer	"No, no, I mean it takes time."	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2132	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	Are you being indecisive?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2133	6	Episode Six	Twentieth-century vole	Dialogue	John Cleese	Fourth Writer	Yo. Nes. Perhaps.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2135	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	I hope you three gentlemen aren't going to be indecisive!	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2137	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	What the hell are you doing under that table?	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2138	6	Episode Six	Twentieth-century vole	Dialogue	Michael Palin	First Writer	We dropped our pencils.	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2139	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	"Pencil droppers, eh?"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2140	6	Episode Six	Twentieth-century vole	Dialogue		Writers	"No, no, no, no, no!"	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2141	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	Right. Now I want your opinion of my idea ...	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2143	6	Episode Six	Twentieth-century vole	Dialogue	Graham Chapman	Larry	You...	11/5/1969 0:00	6-Jan	11/23/1969 0:00
2145	6	Episode Six	Twentieth-century vole	Dialogue	Michael Palin	First Writer	Oh...	11/5/1969 0:00	6-Jan	11/23/1969 0:00
